Date: 4/29/2025
Date/Time	Identifier	Cat amount	Weight loading	Bed length	HT1 sp	HT1 pv	HT2 sp	HT2 pv	HT3 sp	HT3 pv	Oven SP	Oven RMP	Oven PV	Oven OP%	MFC Ar sp	MFC Ar pv	MFC CO sp	MFC CO pv	MFC H2 sp	MFC H2 pv	MFC He sp	MFC He pv	MFC O2 sp	MFC O2 pv	MFC N2 sp	MFC N2 pv	MFC CO2 sp	MFC CO2 pv	MFM	MFC Call sp	MFC Call pv	Prepressure 1	Prepressure 2	Prepressure 3	Prepressure 4	Prepressure 5	Prepressure 6	Pressure R1	Pressure R2	BPC T-SP	BPC RMP	BPC A-SP	Valve 1	Valve 2	Valve 3	Valve 4	Valve 5	Valve 6	Valve 7	Valve 8	Valve 9	Valve 10
29-Apr-2025 00:01:08	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.00	10.00	9.93	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.03	0.00	0.00	45.62	0.00	0.23	30.64	31.53	28.95	23.42	-0.01	30.25	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:13	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.09	10.00	10.00	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.02	0.00	0.00	38.81	0.00	0.23	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:18	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	1.00	3.00	2.87	10.00	9.94	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.98	0.00	0.00	42.08	0.00	0.20	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:23	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	37.00	3.00	3.13	10.00	10.00	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.98	0.00	0.00	37.39	0.00	0.25	30.64	31.53	28.95	23.41	-0.01	30.24	19.74	20.48	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:28	Co10TiO2	0.23	10		150.00	150.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	44.00	3.00	2.97	10.00	9.98	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.02	0.00	0.00	40.76	0.00	0.27	30.64	31.53	28.95	23.42	-0.01	30.24	19.74	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:33	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	51.00	3.00	2.94	10.00	10.00	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.00	0.00	0.00	42.18	0.00	0.26	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:38	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	11.00	3.00	2.97	10.00	9.94	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.01	0.00	0.00	40.11	0.00	0.26	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:43	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.15	10.00	10.01	20.00	20.01	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	39.44	0.00	0.22	30.64	31.53	28.95	23.42	-0.02	30.24	19.74	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:48	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.02	10.00	9.92	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.01	0.00	0.00	40.87	0.00	0.28	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:53	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	2.86	10.00	9.98	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	43.72	0.00	0.24	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:01:58	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	2.92	10.00	9.96	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.97	0.00	0.00	40.81	0.00	0.17	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:03	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	28.00	3.00	2.94	10.00	10.01	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.00	0.00	0.00	39.40	0.00	0.30	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:02:08	Co10TiO2	0.23	10		150.00	150.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	41.00	3.00	2.91	10.00	10.09	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.96	0.00	0.00	39.24	0.00	0.20	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
