Date: 4/30/2025
Date/Time	Identifier	Cat amount	Weight loading	Bed length	HT1 sp	HT1 pv	HT2 sp	HT2 pv	HT3 sp	HT3 pv	Oven SP	Oven RMP	Oven PV	Oven OP%	MFC Ar sp	MFC Ar pv	MFC CO sp	MFC CO pv	MFC H2 sp	MFC H2 pv	MFC He sp	MFC He pv	MFC O2 sp	MFC O2 pv	MFC N2 sp	MFC N2 pv	MFC CO2 sp	MFC CO2 pv	MFM	MFC Call sp	MFC Call pv	Prepressure 1	Prepressure 2	Prepressure 3	Prepressure 4	Prepressure 5	Prepressure 6	Pressure R1	Pressure R2	BPC T-SP	BPC RMP	BPC A-SP	Valve 1	Valve 2	Valve 3	Valve 4	Valve 5	Valve 6	Valve 7	Valve 8	Valve 9	Valve 10
30-Apr-2025 00:00:08	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	30.00	3.00	3.07	10.00	10.03	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.02	0.00	0.00	42.74	0.00	0.26	30.63	31.71	28.91	23.30	-0.01	29.96	19.97	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:13	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	48.00	3.00	2.98	10.00	9.99	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.00	0.00	0.00	39.96	0.00	0.18	30.63	31.71	28.91	23.30	-0.01	29.96	19.97	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:18	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	39.00	3.00	3.03	10.00	9.98	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.95	0.00	0.00	36.09	0.00	0.27	30.63	31.71	28.91	23.30	-0.01	29.96	19.97	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:23	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	27.00	3.00	3.05	10.00	9.99	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.09	0.00	0.00	39.91	0.00	0.22	30.63	31.71	28.91	23.30	-0.01	29.96	19.97	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:28	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.03	10.00	9.99	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	41.38	0.00	0.20	30.63	31.71	28.91	23.30	-0.01	29.96	19.98	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:33	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.06	10.00	10.02	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.96	0.00	0.00	41.69	0.00	0.31	30.63	31.71	28.91	23.30	-0.01	29.96	19.97	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:38	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	221.00	0.00	3.00	2.97	10.00	9.99	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.98	0.00	0.00	39.69	0.00	0.25	30.63	31.71	28.91	23.30	-0.01	29.96	19.98	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:43	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.04	10.00	9.93	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.03	0.00	0.00	39.57	0.00	0.31	30.63	31.71	28.91	23.30	-0.01	29.96	19.97	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:48	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	16.00	3.00	2.82	10.00	10.03	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.09	0.00	0.00	41.92	0.00	0.28	30.63	31.71	28.91	23.30	-0.01	29.96	19.97	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
30-Apr-2025 00:00:53	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	47.00	3.00	2.86	10.00	9.96	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.00	0.00	0.00	39.33	0.00	0.30	30.63	31.71	28.91	23.30	-0.01	29.96	19.98	20.68	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
